Membership No  Date Joined  Active  
    43727      2020-10-9    no    
    13778      2016-2-5     no    
    72821      2018-12-12   no    
    55530      2020-3-2     no    
    44126      2016-10-21   no    
    36045      2018-6-7     no    
    40039      2020-11-14   no    
    47226      2015-2-22    no    
    39950      2019-12-1    no    
    34201      2017-7-2     no    
    18962      2020-5-15    no    
    29640      2020-6-20    no    
    29700      2019-10-22   no    
    57401      2019-7-23    no    
    27270      2020-8-20    no    
